iter	Logloss
0	0.6892833166
1	0.6859300717
2	0.6829468161
3	0.6802608106
4	0.6781158701
5	0.6762045328
6	0.6743033057
7	0.6724635027
8	0.6703042683
9	0.6684765518
10	0.6668542864
11	0.6655270394
12	0.664250841
13	0.6629142526
14	0.66149555
15	0.6604366075
16	0.6594703203
17	0.6584366689
18	0.6576701655
19	0.6567696485
20	0.6561258001
21	0.6553027955
22	0.6544549502
23	0.6538505603
24	0.6532391687
25	0.6526831138
26	0.6521467091
27	0.6516178794
28	0.6510686605
29	0.6505342296
30	0.6501238749
31	0.6498325224
32	0.6494561173
33	0.6489590234
34	0.6484395182
35	0.647936388
36	0.6475484257
37	0.6471632816
38	0.6467206039
39	0.6464090381
40	0.6460381725
41	0.6457583057
42	0.645423984
43	0.645110218
44	0.6448300034
45	0.6445617692
46	0.6443582563
47	0.6439731055
48	0.6436415261
49	0.643418369
50	0.6431099762
51	0.642850362
52	0.6426218631
53	0.6423406037
54	0.6419915972
55	0.6417435306
56	0.6415965904
57	0.6413054951
58	0.641129933
59	0.6409061633
60	0.6406560984
61	0.640463291
62	0.6402090639
63	0.6399496915
64	0.6397538284
65	0.6395809561
66	0.6394237326
67	0.6392066495
68	0.6390531852
69	0.6387833105
70	0.6386324875
71	0.6383459954
72	0.6381289653
73	0.637968478
74	0.6377709505
75	0.6375773756
76	0.6372325176
77	0.6369637228
78	0.6367097406
79	0.6365161719
80	0.6362711881
81	0.6359641889
82	0.6357469407
83	0.6355673044
84	0.6353854311
85	0.6351780325
86	0.6349690426
87	0.6348940371
88	0.6347863901
89	0.6345944029
90	0.6344536557
91	0.6341700385
92	0.6340834211
93	0.6337345723
94	0.6334518672
95	0.6332215436
96	0.6330646831
97	0.6328932609
98	0.6326507545
99	0.6324265116
100	0.6322668756
101	0.6320931686
102	0.6319482573
103	0.63174642
104	0.6315396928
105	0.6313401589
106	0.6310759138
107	0.6308492656
108	0.6308381453
109	0.6306620083
110	0.6304751168
111	0.6303267612
112	0.6300513967
113	0.6298432766
114	0.6297028812
115	0.6294947881
116	0.629344166
117	0.6291904247
118	0.6290278439
119	0.6289563602
120	0.6287690334
121	0.6286135399
122	0.628405925
123	0.6282568331
124	0.6280843317
125	0.6278410574
126	0.6277351425
127	0.6274879087
128	0.6273562149
129	0.6271948953
130	0.6269433894
131	0.6267647877
132	0.6266704501
133	0.6264110145
134	0.6262133304
135	0.6259981622
136	0.6258994393
137	0.6258076102
138	0.6257520226
139	0.625541523
140	0.6252233616
141	0.6250762958
142	0.6248741554
143	0.6247358134
144	0.6246527838
145	0.6245240145
146	0.6243848683
147	0.6242388711
148	0.6241991665
149	0.6241472735
150	0.6239562202
151	0.6236675658
152	0.6235813808
153	0.6233485191
154	0.6232094331
155	0.6230516027
156	0.6229268493
157	0.6227311106
158	0.6226297889
159	0.6225708917
160	0.6224053019
161	0.6221457801
162	0.6219877763
163	0.6218745847
164	0.6217577405
165	0.6216991283
166	0.6215921284
167	0.621380136
168	0.6212050322
169	0.6210364014
170	0.6208603605
171	0.6206984235
172	0.6205422489
173	0.6203809006
174	0.6202454228
175	0.6201130505
176	0.6199453165
177	0.6197634166
178	0.6196015927
179	0.6194708638
180	0.6192441588
181	0.6190394543
182	0.6189233419
183	0.618716663
184	0.6186167198
185	0.6184256836
186	0.6182373119
187	0.6181418994
188	0.6180548018
189	0.6179575451
190	0.6177023259
191	0.6174900747
192	0.6173812511
193	0.6173212179
194	0.6171219292
195	0.6169253663
196	0.6166492627
197	0.6164607424
198	0.6162438377
199	0.6160536103
200	0.6159070288
201	0.6156910794
202	0.6155301052
203	0.61533453
204	0.6152483467
205	0.6151967507
206	0.614950911
207	0.6147677821
208	0.6146300157
209	0.6145052206
210	0.614345122
211	0.6142201652
212	0.613976192
213	0.6139159791
214	0.6137686186
215	0.6136335462
216	0.6134711971
217	0.6132992237
218	0.6130636673
219	0.6129636394
220	0.6127226066
221	0.6126255233
222	0.6123136036
223	0.6121706144
224	0.6120246194
225	0.611885777
226	0.6117854028
227	0.611562055
228	0.6113040428
229	0.6110650839
230	0.6109319578
231	0.6108107806
232	0.6106443119
233	0.6103477696
234	0.6102044407
235	0.610006623
236	0.6098393263
237	0.609652301
238	0.6094408051
239	0.6092972904
240	0.6091428289
241	0.6089212377
242	0.6087934535
243	0.6085534613
244	0.6083585854
245	0.6081770187
246	0.6079594791
247	0.6076687174
248	0.6075220205
249	0.6072770277
250	0.6069850906
251	0.6066702043
252	0.6064993581
253	0.6062579486
254	0.6061088555
255	0.6059897005
256	0.6058302293
257	0.6056616323
258	0.6054556666
259	0.6052389712
260	0.6050544024
261	0.6049139344
262	0.6047673939
263	0.6045582754
264	0.6043966481
265	0.6042045758
266	0.603921693
267	0.6037534261
268	0.6036080495
269	0.6033680124
270	0.6031811403
271	0.6030190448
272	0.6027856858
273	0.6025784961
274	0.6024161684
275	0.6021530722
276	0.6019482554
277	0.6017350718
278	0.6015675303
279	0.6013725899
280	0.6012349956
281	0.6009823468
282	0.600825735
283	0.6006073195
284	0.6003505168
285	0.600099077
286	0.5998757332
287	0.5996735675
288	0.5995026528
289	0.5993366274
290	0.5991717902
291	0.5989749026
292	0.5988351674
293	0.5986330491
294	0.5984153243
295	0.5981328565
296	0.5979315596
297	0.5977314577
298	0.5975513254
299	0.5973306108
300	0.5971141184
301	0.5968923087
302	0.5967460596
303	0.5965941671
304	0.5964002553
305	0.5962537062
306	0.5961243505
307	0.5959849583
308	0.5958244842
309	0.5956890561
310	0.5954796443
311	0.5953087292
