iter	Passed	Remaining
0	518	1555735
1	884	1325701
2	1366	1365460
3	1791	1341907
4	2229	1335723
5	2659	1326966
6	3093	1322715
7	3458	1293550
8	3864	1284333
9	4288	1282280
10	4632	1258898
11	5016	1249033
12	5416	1244541
13	5832	1244042
14	6243	1242523
15	6693	1248358
16	7093	1244776
17	7710	1277442
18	7953	1247848
19	8413	1253664
20	8806	1249217
21	9205	1246156
22	9668	1251386
23	10089	1251049
24	10577	1258729
25	11036	1262444
26	11359	1250799
27	11796	1252078
28	12253	1255357
29	12704	1257723
30	13147	1259228
31	13584	1259997
32	13960	1255213
33	14429	1258746
34	14889	1261386
35	15372	1265669
36	15857	1269920
37	16266	1267920
38	16651	1264236
39	17104	1265712
40	17559	1267308
41	18029	1269778
42	18429	1267329
43	18926	1271510
44	19383	1272856
45	19887	1277115
46	20347	1278444
47	20788	1278501
48	21265	1280733
49	21680	1279168
50	22104	1278142
51	22577	1279962
52	22972	1277380
53	23391	1276127
54	23830	1276013
55	24322	1278690
56	24802	1280584
57	25287	1282667
58	25744	1283287
59	26273	1287384
60	26674	1285175
61	27152	1286683
62	27605	1286957
63	28099	1289062
64	28539	1288653
65	29040	1290974
66	29513	1291974
67	30008	1293904
68	30472	1294421
69	30997	1297464
70	31426	1296440
71	31894	1297058
72	32360	1297506
73	32871	1299773
74	33343	1300409
75	33892	1303951
76	34387	1305366
77	34941	1308965
78	35405	1309119
79	35972	1313011
80	36493	1315112
81	37032	1317799
82	37584	1320877
83	38061	1321274
84	38602	1323821
85	39130	1325872
86	39555	1324427
87	40028	1324569
88	40602	1328022
89	41121	1329610
90	41608	1330112
91	42128	1331630
92	42611	1331956
93	43035	1330442
94	43486	1329777
95	43973	1330199
96	44385	1328366
97	44764	1325563
98	45279	1326819
99	45761	1327091
100	46275	1328252
101	46833	1330633
102	47371	1332381
103	47828	1331835
104	48330	1332551
105	48882	1334596
106	49459	1337266
107	49967	1338016
108	50512	1339741
109	50995	1339796
110	51476	1339771
111	51950	1339588
112	52475	1340668
113	53001	1341785
114	53470	1341405
115	53919	1340559
116	54470	1342207
117	55033	1344119
118	55500	1343665
119	56027	1344661
120	56490	1344089
121	56860	1341358
122	57341	1341235
123	57793	1340446
124	58290	1340672
125	58876	1342938
126	59405	1343870
127	59821	1342239
128	60357	1343298
129	60861	1343624
130	61413	1345002
131	61768	1342070
132	62341	1343854
133	62928	1345921
134	63432	1346185
135	63903	1345739
136	64506	1348053
137	65068	1349470
138	65516	1348499
139	66000	1348301
140	66570	1349813
141	67270	1353930
142	67871	1356013
143	68447	1357533
144	68979	1358174
145	69531	1359200
146	69990	1358377
147	70541	1359352
148	71151	1361437
149	71739	1363059
150	72190	1362064
151	72728	1362693
152	73334	1364590
153	73902	1365757
154	74450	1366519
155	75161	1370259
156	75845	1373430
157	76402	1374275
158	77018	1376152
159	77643	1378178
160	78103	1377247
161	78602	1377006
162	79066	1376152
163	79670	1377708
164	80208	1378122
165	80788	1379243
166	81348	1379996
167	81980	1381960
168	82489	1381814
169	83021	1382063
170	83481	1381113
171	84012	1381313
172	84605	1382549
173	85117	1382420
174	85658	1382769
175	86304	1384790
176	86869	1385491
177	87492	1387093
178	88049	1387642
179	88623	1388432
180	89185	1389031
181	89684	1388629
182	90220	1388798
183	90745	1388797
184	91226	1388125
185	91797	1388800
186	92335	1388979
187	92781	1387767
188	93371	1388721
189	93897	1388699
190	94405	1388398
191	94888	1387738
192	95519	1389237
193	96062	1389446
194	96571	1389138
195	97126	1389498
196	97682	1389865
197	98175	1389329
198	98815	1390864
199	99306	1390297
200	99819	1390020
201	100382	1390442
202	100895	1390176
203	101525	1391500
204	102092	1391943
205	102638	1392098
206	103124	1391434
207	103637	1391139
208	104270	1392438
209	104885	1393484
210	105458	1393945
211	106157	1396077
212	106802	1397460
213	107508	1399625
214	108090	1400151
215	108551	1399108
216	109122	1399481
217	109673	1399596
218	110239	1399887
219	110735	1399292
220	111229	1398679
221	111718	1397992
222	112261	1397986
223	112880	1398915
224	113355	1398051
225	113940	1398538
226	114479	1398467
227	114995	1398099
228	115517	1397817
229	115995	1396990
230	116610	1397809
231	117308	1399614
232	117873	1399811
233	118557	1401406
234	119084	1401141
235	119684	1401723
236	120308	1402580
237	120893	1402974
238	121418	1402657
239	121909	1401954
240	122494	1402333
241	123163	1403661
242	123752	1404061
243	124301	1403991
244	124849	1403918
245	125364	1403474
246	125872	1402940
247	126394	1402567
248	126947	1402536
249	127479	1402274
250	128047	1402402
251	128595	1402298
252	129096	1401692
253	129592	1401025
254	130127	1400789
255	130653	1400444
256	131244	1400787
257	131806	1400822
258	132364	1400812
259	132893	1400491
260	133467	1400644
261	134152	1401941
262	134663	1401426
